,0,1,2,3,4,5,6,7,8,9,10,11,12
0,3204,0,0,1,0,0,0,0,0,0,0,0,0
1,0,3169,4,0,0,0,0,0,0,10,3,0,0
2,0,3,3182,0,0,0,0,0,0,1,0,0,0
3,3,17,0,3234,14,0,2,0,0,8,0,8,0
4,8,0,0,0,3068,0,0,0,0,0,1,0,0
5,0,0,0,0,0,3239,0,0,0,0,0,0,0
6,1,0,0,8,0,0,3162,0,0,0,0,6,0
7,0,0,0,0,0,0,0,3240,0,0,0,0,0
8,0,0,1,0,0,0,0,0,3286,5,0,0,0
9,4,18,3,27,0,0,1,0,11,3134,19,2,0
10,0,0,0,6,12,0,0,0,3,4,3115,60,0
11,0,1,0,0,0,6,0,0,0,1,187,2912,0
12,0,0,0,0,0,0,0,0,0,0,0,0,3186
