,0
0,0.9431658289484136
1,0.5088243202871575
2,0.5122769830725373
3,-0.9536715731554568
4,0.928193634113151
5,0.9734176278750769
6,-0.9798662440430493
7,0.8575984844783264
8,0.8218164058427847
9,-0.28087976450609137
10,0.29311540659901686
11,0.9779800844211953
12,0.9814053999568709
13,0.999707794450183
14,0.9957615513187995
15,-0.9747202221307286
16,0.9472515840892751
17,-0.6646398879709404
18,0.6526605147573258
19,-0.6654431006591727
20,-0.2672463682418922
21,0.41106659446227917
22,0.990432690685867
23,0.9852445844339678
24,-0.8949586817092025
25,-0.9082700260677875
26,0.9366972678617347
27,0.9401417021160186
28,0.9718681068551657
29,0.9593942257271669
30,-0.9867176623283221
31,-0.9998467260354618
