,0
0,0.9407276242401529
1,0.5095467103257061
2,0.5197990531078437
3,-0.9557652716553203
4,0.9339741188663337
5,0.9734623881007488
6,-0.978068430246601
7,0.8563531476580335
8,0.8187819408263669
9,-0.27402215105064603
10,0.28696881993853596
11,0.9778839629603346
12,0.9812371694853793
13,0.9996241042500906
14,0.9961889595001715
15,0.963443463074067
16,0.9398406814447878
17,-0.7592930924669844
18,0.7021463288613771
19,-0.5616630257972463
20,-0.3430565192897288
21,-0.4123002896812023
22,0.9874259124474899
23,0.9838429187159691
24,-0.9127861472568912
25,-0.928804171346312
26,0.9381578570548806
27,0.9388356028932435
28,0.9831055345794243
29,0.9700137085273062
30,-0.9875291547988139
31,-0.9998890861362217
